식당(ID),식당명,주차가능여부,반려동물입장가능여부,다국어메뉴판제공여부
3316,진양식당,N,N,N
3317,언양갈비,N,N,N
3319,성주집,N,N,N
3320,정선장횟집,N,N,N
3321,함홍식당,N,N,N
3322,청도식당,N,N,N
3323,하단집기사식당,N,N,N
3324,대평식당,N,N,N
3325,오륙도 상회,N,N,N
3327,연초록,N,N,N
3328,동원식당,N,N,N
3329,한림정,N,N,N
3330,부영숯불구이,N,N,N
3331,서면고려삼계탕,Y,N,N
3332,시장분식센타,N,N,N
3333,제일식당,N,N,Y
3334,선미식당,N,N,N
3335,1993,N,N,N
3336,본정냉면,Y,N,Y
3337,대포집,N,N,N
3338,동백,N,N,N
3339,구내식당,N,N,N
3340,경일식당,N,N,N
3341,단골식당,N,N,N
3342,피자에땅(서면점),N,N,N
3343,아세아,N,N,N
3344,불란서,N,N,N
3345,시골밥상,N,N,N
3346,엄지척닭도리(경성대점),N,N,N
3347,우암식육점,N,N,N
3348,옥이집,N,N,N
3349,우암식육점,N,N,N
3350,돼지집,N,N,N
3351,행운식당,N,N,N
3352,산청집,N,N,N
3353,다대집,N,N,N
3354,용호반점,N,N,N
3355,부완상회,N,N,N
3357,할매집,N,N,N
3361,갯내음,Y,N,N
3367,곤지암할매소머리국밥(연산점),N,N,N
3370,곰다방,N,N,N
3371,꺼먹동네,N,N,Y
3372,읍내횟집,N,N,Y
3736,세무서구내,N,N,N
3740,선일선어횟집,N,N,Y
3741,원조제일산곰장어,N,N,N
3742,부산식당,N,N,N
3743,서울감자탕,Y,N,Y
3744,신한식당,N,N,N
3746,자성화맛집코다리네(부산수정점),N,N,Y
3747,백수장조방낙지,N,N,N
3748,땅땅치킨(부산역점),N,N,N
3749,전통본가밀면,N,N,N
3750,존버치킨,N,N,N
3751,골목식당,N,N,Y
3752,영덕대게,N,N,N
3753,평산옥,Y,N,Y
3754,언양갈비,N,N,N
3755,삼오집,N,N,N
3756,미스터잭,N,N,N
3757,남해집,N,N,Y
3758,일미정,N,N,Y
3759,열차승무원급식소,N,N,N
3760,꼬꼬마당,N,N,N
3762,제일예천수육,N,N,N
3763,진주식당,N,N,N
3764,신한식당,N,N,N
3766,두지식당,N,N,N
3767,기장 산곰장어,N,N,N
3768,조실장,N,N,N
3769,홍대앞맥주집,N,N,N
3770,우정돌솥비빔밥(서면점),N,N,N
3771,장우동,N,N,Y
3772,동천오두막,N,N,N
3773,한마당통영숯불바다장어,Y,N,N
3774,원조할매낙지,Y,N,N
3775,다온다식당,N,N,N
3776,불로만숯불바베(대연1호점),N,N,N
3777,금곡횟집,N,N,Y
3780,청해,N,N,N
3782,동백집,N,N,Y
3785,강변횟집,N,N,N
3786,풍년횟집,N,N,N
3793,목마포차,N,N,N
3794,샘터식당,N,N,N
3795,칠암동해횟집,Y,N,Y
3796,칠암횟집,Y,N,N
3797,울산해변횟집,N,N,N
3798,칠암산호횟집,N,N,N
4734,옹골찬,N,N,N
