식당(ID),식당위도,식당경도
3331,35.154,129.0581
3332,35.1557,129.0581
3333,35.1575,129.0618
3334,35.1671,129.0406
3335,35.1662,129.0397
3336,35.1631,129.0428
3337,35.1627,129.0398
3338,35.1667,129.0679
3339,35.1734,129.0692
3340,35.1734,129.0692
3341,35.1498,129.0577
3342,35.149,129.0579
3343,35.149,129.0579
3344,35.1748,129.0767
3345,35.1296,129.0916
3346,35.1381,129.1025
3347,35.1279,129.0689
3348,35.1133,129.0946
3349,35.1277,129.071
3350,35.1247,129.0768
3351,35.1279,129.071
3352,35.1279,129.071
3353,35.13,129.1051
3354,35.13,129.1051
3355,35.1189,129.0805
3357,35.1608,129.1933
3361,35.1608,129.1933
3367,35.1857,129.0836
3370,35.1691,128.9821
3371,35.2985,129.2595
3372,35.298,129.2596
3736,35.1054,129.0248
3740,35.0957,129.024
3741,35.1197,129.0396
3742,35.1196,129.0408
3743,35.1198,129.0395
3744,35.1283,129.0464
3746,35.1287,129.0471
3747,35.138,129.0586
3748,35.1161,129.0396
3749,35.139,129.0589
3750,35.1379,129.0615
3751,35.141,129.0559
3752,35.1187,129.0404
3753,35.1143,129.0371
3754,35.138,129.0589
3755,35.1193,129.0397
3756,35.1183,129.0408
3757,35.1193,129.0398
3758,35.1223,129.0418
3759,35.1177,129.045
3760,35.1289,129.0473
3762,35.1277,129.0461
3763,35.0934,129.0369
3764,35.0698,129.0669
3766,35.1502,129.0192
3767,35.1631,129.0595
3768,35.1606,129.0577
3769,35.1606,129.0577
3770,35.1562,129.062
3771,35.1552,129.0598
3772,35.1445,129.0599
3773,35.1471,129.0607
3774,35.1421,129.0601
3775,35.1641,129.0393
3776,35.1293,129.0917
3777,35.1356,129.0915
3780,35.1608,129.1933
3782,35.1608,129.1898
3785,35.1074,128.9316
3786,35.1188,128.9299
3793,35.1594,128.9876
3794,35.2491,129.2413
3795,35.2997,129.2595
3796,35.298,129.2596
3797,35.2994,129.2593
3798,35.2989,129.2595
4734,35.1036,129.0352
4735,35.1034,129.0351
4736,35.1086,129.0377
4737,35.099,129.0307
4738,35.103,129.0193
4739,35.1026,129.0201
4741,35.0965,129.0256
4742,35.103,129.0193
4744,35.1415,129.0553
4745,35.1304,129.0486
4746,35.1295,129.0436
4747,35.1193,129.0397
4748,35.1193,129.0396
4749,35.139,129.0584
4750,35.1301,129.0476
4751,35.1192,129.0413
4752,35.1199,129.0406
4753,35.1136,129.0378
4754,35.1221,129.0443
4755,35.0923,129.0411
4758,35.1537,129.0235
4759,35.1605,129.0559
4760,35.1609,129.0649
4762,35.1819,129.0465
4763,35.153,129.0586
4764,35.1562,129.0604
4765,35.155,129.0565
4766,35.1554,129.0574
4767,35.1713,129.0517
4768,35.1447,129.0179
4769,35.1467,129.059
4771,35.1359,129.0696
4772,35.1351,129.0886
4773,35.207,129.0039
4774,35.2106,129.0048
4775,35.1972,129.1312
4777,35.274,129.0922
4778,35.2132,128.9823
4779,35.1128,128.9315
4781,35.1124,128.9312
4784,35.1687,129.1178
4785,35.1689,129.1179
4790,35.1797,128.9857
4791,35.1545,128.9933
4793,35.2975,129.2597
4794,35.2886,129.2568
4795,35.2248,129.2306
5250,35.0969,129.0272
5252,35.1,129.0346
5253,35.0976,129.0296
5254,35.1089,129.0347
5255,35.1089,129.0347
5256,35.1016,129.0185
5257,35.1191,129.0398
5258,35.1216,129.0438
5259,35.1227,129.0428
5260,35.1227,129.0428
5261,35.1328,129.0556
5264,35.1396,129.0646
5265,35.1397,129.0603
5266,35.1203,129.0346
5267,35.1195,129.0404
5268,35.1295,129.0479
5269,35.1405,129.0638
5270,35.1383,129.0615
5271,35.0678,129.0659
5272,35.1597,129.0592
5273,35.1585,129.0612
5274,35.1584,129.0625
5275,35.1675,129.0507
5276,35.156,129.0585
5277,35.1547,129.057
5278,35.1552,129.0571
5279,35.169,129.0355
5280,35.2063,129.0694
5281,35.1354,129.0904
5282,35.1362,129.0914
5283,35.1372,129.0905
5284,35.2042,128.9952
5287,35.1607,129.1918
5289,35.1035,128.9747
5290,35.1896,129.0784
5296,35.173,129.0995
5297,35.175,128.9849
5299,35.1556,128.9873
5300,35.1514,128.9959
5301,35.1528,128.9956
5302,35.1528,128.9956
5303,35.2181,129.2273
5304,35.3262,129.2772
5847,35.1036,129.0349
5848,35.1035,129.0353
5849,35.1004,129.038
5850,35.1045,129.0244
5851,35.1089,129.0347
5852,35.1108,129.0188
5853,35.1151,129.0159
5854,35.1014,129.0182
5856,35.1391,129.059
5857,35.1394,129.0603
5858,35.1396,129.0646
5859,35.1385,129.06
5860,35.1367,129.0558
5861,35.1176,129.0399
5862,35.1186,129.0413
5863,35.1405,129.0638
5864,35.0917,129.0384
5865,35.0922,129.0337
5866,35.0924,129.0349
5867,35.0926,129.0338
5868,35.1599,129.0598
5869,35.1465,129.0185
5870,35.1581,129.0619
5871,35.1582,129.056
5872,35.1584,129.0628
5873,35.1547,129.0569
5874,35.1561,129.0603
5875,35.1553,129.0567
5876,35.1536,129.033
5877,35.1647,129.0367
5878,35.1622,129.0397
5879,35.1356,129.0912
5880,35.1357,129.0981
5881,35.2065,128.9981
5882,35.2135,129.0234
5884,35.1613,129.1939
5885,35.2342,129.158
5886,35.2321,129.1558
5888,35.1046,128.9748
5889,35.1033,128.9624
5890,35.1033,128.9624
5891,35.1015,128.9971
5892,35.2428,129.0562
5893,35.2437,129.0555
5894,35.2442,129.0552
5895,35.2426,129.0556
5896,35.2442,129.0523
5897,35.2437,129.0561
5898,35.2443,129.0565
5899,35.2441,129.0552
5900,35.2444,129.0551
5901,35.2439,129.0562
5902,35.2432,129.0558
5903,35.243,129.0557
5904,35.2448,129.0575
5905,35.2428,129.0865
5906,35.2437,129.0553
5914,35.1556,128.9873
5915,35.1592,128.9841
5917,35.2185,129.2271
5918,35.218,129.2272
5919,35.2408,129.2156
5920,35.299,129.2591
